"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0","+2.5","62% (10/16)"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","0","+3.8","50% (8/16)"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","0","+1.7","60% (9/15)"
"4",1,"Amon-Ra St. Brown",DET,"WR3","5","4 out of 5 stars","+2","+2.0","60% (9/15)"
"5",1,"Ja'Marr Chase",CIN,"WR4","12","2 out of 5 stars","+2","-0.8","33% (5/15)"
"6",1,"Breece Hall",NYJ,"RB2","12","2 out of 5 stars","-1","+1.4","50% (8/16)"
"7",1,"Bijan Robinson",ATL,"RB3","12","4 out of 5 stars","-3","-2.5","37% (6/16)"
"8",1,"Justin Jefferson",MIN,"WR5","6","3 out of 5 stars","0","-0.5","55% (5/9)"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","+1","+0.5","43% (7/16)"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+2","-1.3","37% (6/16)"
"11",2,"Jahmyr Gibbs",DET,"RB4","5","3 out of 5 stars","+2","+1.6","50% (7/14)"
"12",2,"Jonathan Taylor",IND,"RB5","14","2 out of 5 stars","-1","-0.1","44% (4/9)"
"13",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","-4","-0.9","38% (5/13)"
"14",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","0","+2.9","62% (10/16)"
"15",2,"Marvin Harrison Jr.",ARI,"WR9","11","3 out of 5 stars","+1","-","-"
"16",3,"Davante Adams",LV,"WR10","10","3 out of 5 stars","+4","-0.8","37% (6/16)"
"17",3,"Drake London",ATL,"WR11","12","4 out of 5 stars","+6","0.0","40% (6/15)"
"18",3,"Travis Etienne Jr.",JAC,"RB7","12","2 out of 5 stars","-1","+0.7","56% (9/16)"
"19",3,"Chris Olave",NO,"WR12","12","3 out of 5 stars","+5","-0.3","53% (8/15)"
"20",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+1","+2.1","62% (10/16)"
"21",3,"Cooper Kupp",LAR,"WR13","6","3 out of 5 stars","+16","-1.8","41% (5/12)"
"22",3,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+9","+0.6","68% (11/16)"
"23",3,"Sam LaPorta",DET,"TE1","5","3 out of 5 stars","+10","+2.5","56% (9/16)"
"24",3,"Nico Collins",HOU,"WR14","14","3 out of 5 stars","+3","+2.6","50% (7/14)"
"25",3,"Jaylen Waddle",MIA,"WR15","6","2 out of 5 stars","+18","-0.6","35% (5/14)"
"26",3,"Mike Evans",TB,"WR16","11","3 out of 5 stars","+4","+2.7","62% (10/16)"
"27",3,"Travis Kelce",KC,"TE2","6","3 out of 5 stars","-5","-2.2","26% (4/15)"
"28",3,"Michael Pittman Jr.",IND,"WR17","14","4 out of 5 stars","+8","+1.3","60% (9/15)"
"29",4,"Patrick Mahomes II",KC,"QB3","6","3 out of 5 stars","-1","-3.0","18% (3/16)"
"30",4,"Brandon Aiyuk",SF,"WR18","9","2 out of 5 stars","+5","+1.8","60% (9/15)"
"31",4,"De'Von Achane",MIA,"RB8","6","3 out of 5 stars","-6","+6.1","50% (5/10)"
"32",4,"Lamar Jackson",BAL,"QB4","14","4 out of 5 stars","+6","+0.3","50% (8/16)"
"33",4,"Isiah Pacheco",KC,"RB9","6","3 out of 5 stars","-14","+1.1","50% (7/14)"
"34",4,"Josh Jacobs",GB,"RB10","10","1 out of 5 stars","-8","-2.3","38% (5/13)"
"35",4,"Alvin Kamara",NO,"RB11","12","5 out of 5 stars","+5","+0.1","46% (6/13)"
"36",4,"Deebo Samuel Sr.",SF,"WR19","9","2 out of 5 stars","-2","+2.0","57% (8/14)"
"37",4,"DeVonta Smith",PHI,"WR20","5","2 out of 5 stars","+9","+0.7","50% (8/16)"
"38",4,"DJ Moore",CHI,"WR21","7","4 out of 5 stars","+7","+3.0","50% (8/16)"
"39",4,"Derrick Henry",BAL,"RB12","14","3 out of 5 stars","-21","-0.5","56% (9/16)"
"40",4,"DK Metcalf",SEA,"WR22","10","3 out of 5 stars","+1","+0.9","46% (7/15)"
"41",4,"Kyren Williams",LAR,"RB13","6","3 out of 5 stars","-26","+5.5","66% (8/12)"
"42",4,"Malik Nabers",NYG,"WR23","11","3 out of 5 stars","+7","-","-"
"43",4,"James Cook",BUF,"RB14","12","2 out of 5 stars","-14","+0.9","50% (8/16)"
"44",4,"Rachaad White",TB,"RB15","11","5 out of 5 stars","-12","+1.2","62% (10/16)"
"45",4,"Trey McBride",ARI,"TE3","11","5 out of 5 stars","+3","+1.5","43% (7/16)"
"46",5,"Amari Cooper",CLE,"WR24","10","3 out of 5 stars","+8","+2.7","53% (8/15)"
"47",5,"Rashee Rice",KC,"WR25","6","3 out of 5 stars","+21","+2.5","68% (11/16)"
"48",5,"Stefon Diggs",HOU,"WR26","14","3 out of 5 stars","-4","-1.4","37% (6/16)"
"49",5,"Joe Mixon",HOU,"RB16","14","3 out of 5 stars","-10","+0.4","37% (6/16)"
"50",5,"Kenneth Walker III",SEA,"RB17","10","4 out of 5 stars","-8","-0.4","42% (6/14)"
"51",5,"Terry McLaurin",WAS,"WR27","14","3 out of 5 stars","+22","-0.8","43% (7/16)"
"52",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+3","-0.6","50% (2/4)"
"53",5,"Tee Higgins",CIN,"WR28","12","2 out of 5 stars","+8","-0.7","33% (4/12)"
"54",5,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","-4","+2.0","42% (6/14)"
"55",5,"Zay Flowers",BAL,"WR29","14","3 out of 5 stars","+7","-0.1","43% (7/16)"
"56",5,"Mark Andrews",BAL,"TE4","14","3 out of 5 stars","-9","+0.3","50% (5/10)"
"57",5,"Kyler Murray",ARI,"QB7","11","2 out of 5 stars","+13","+2.1","71% (5/7)"
"58",5,"George Pickens",PIT,"WR30","9","1 out of 5 stars","-1","+1.7","37% (6/16)"
"59",5,"Dalton Kincaid",BUF,"TE5","12","2 out of 5 stars","-8","-1.0","31% (5/16)"
"60",5,"Tank Dell",HOU,"WR31","14","3 out of 5 stars","+4","+3.1","54% (6/11)"
"61",5,"Christian Kirk",JAC,"WR32","12","4 out of 5 stars","+15","-0.9","58% (7/12)"
"62",5,"Joe Burrow",CIN,"QB8","12","2 out of 5 stars","-3","-2.2","44% (4/9)"
"63",5,"James Conner",ARI,"RB18","11","2 out of 5 stars","-11","+1.3","50% (6/12)"
"64",5,"Chris Godwin",TB,"WR33","11","3 out of 5 stars","+13","-0.1","31% (5/16)"
"65",5,"Aaron Jones",MIN,"RB19","6","3 out of 5 stars","-9","-2.3","40% (4/10)"
"66",5,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","+3","+1.5","50% (8/16)"
"67",5,"Rhamondre Stevenson",NE,"RB20","14","2 out of 5 stars","0","-1.9","33% (4/12)"
"68",5,"Diontae Johnson",CAR,"WR34","11","5 out of 5 stars","+16","0.0","58% (7/12)"
"69",5,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+3","+3.5","75% (12/16)"
"70",6,"Calvin Ridley",TEN,"WR35","5","4 out of 5 stars","+4","-0.5","37% (6/16)"
"71",6,"David Montgomery",DET,"RB21","5","3 out of 5 stars","-11","+2.0","61% (8/13)"
"72",6,"Javonte Williams",DEN,"RB22","14","4 out of 5 stars","+7","-1.8","26% (4/15)"
"73",6,"Keenan Allen",CHI,"WR36","7","4 out of 5 stars","+5","+2.6","46% (6/13)"
"74",6,"Evan Engram",JAC,"TE6","12","3 out of 5 stars","-9","+0.8","43% (7/16)"
"75",6,"D'Andre Swift",CHI,"RB23","7","2 out of 5 stars","-17","-1.4","31% (5/16)"
"76",6,"Najee Harris",PIT,"RB24","9","4 out of 5 stars","-5","0.0","43% (7/16)"
"77",6,"Kyle Pitts",ATL,"TE7","12","3 out of 5 stars","-14","-0.6","31% (5/16)"
"78",6,"Jayden Daniels",WAS,"QB11","14","3 out of 5 stars","+21","-","-"
"79",6,"Jaxon Smith-Njigba",SEA,"WR37","10","3 out of 5 stars","+14","-0.2","50% (8/16)"
"80",6,"Tony Pollard",TEN,"RB25","5","3 out of 5 stars","+1","-3.5","31% (5/16)"
"81",6,"Raheem Mostert",MIA,"RB26","6","3 out of 5 stars","-6","+3.8","60% (9/15)"
"82",6,"Brock Purdy",SF,"QB12","9","2 out of 5 stars","+5","+1.5","62% (10/16)"
"83",6,"Jayden Reed",GB,"WR38","10","4 out of 5 stars","0","+3.6","66% (10/15)"
"84",6,"Jaylen Warren",PIT,"RB27","9","4 out of 5 stars","+5","+0.4","43% (7/16)"
"85",6,"Zamir White",LV,"RB28","10","3 out of 5 stars","-19","-0.5","25% (4/16)"
"86",6,"George Kittle",SF,"TE8","9","4 out of 5 stars","-33","+1.0","50% (8/16)"
"87",6,"DeAndre Hopkins",TEN,"WR39","5","4 out of 5 stars","+15","-0.2","37% (6/16)"
"88",6,"Devin Singletary",NYG,"RB29","11","3 out of 5 stars","+2","+0.1","50% (8/16)"
"89",6,"Brian Robinson Jr.",WAS,"RB30","14","3 out of 5 stars","-1","+1.3","50% (7/14)"
"90",6,"Tyjae Spears",TEN,"RB31","5","3 out of 5 stars","+4","0.0","43% (7/16)"
"91",6,"Caleb Williams",CHI,"QB13","7","4 out of 5 stars","+13","-","-"
"92",6,"Jake Ferguson",DAL,"TE9","7","2 out of 5 stars","-12","+0.4","50% (8/16)"
"93",6,"Tua Tagovailoa",MIA,"QB14","6","2 out of 5 stars","+22","-1.0","37% (6/16)"
"94",6,"Courtland Sutton",DEN,"WR40","14","2 out of 5 stars","+16","+0.7","66% (10/15)"
"95",6,"David Njoku",CLE,"TE10","10","3 out of 5 stars","-13","+2.2","62% (10/16)"
"96",6,"Jared Goff",DET,"QB15","5","4 out of 5 stars","+21","+1.5","56% (9/16)"
"97",6,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+29","0.0","33% (5/15)"
"98",7,"Rome Odunze",CHI,"WR41","7","4 out of 5 stars","-6","-","-"
"99",7,"Brock Bowers",LV,"TE11","10","4 out of 5 stars","-4","-","-"
"100",7,"Xavier Worthy",KC,"WR42","6","3 out of 5 stars","-15","-","-"
"101",7,"Brian Thomas Jr.",JAC,"WR43","12","4 out of 5 stars","+17","-","-"
"102",7,"Dallas Goedert",PHI,"TE12","5","4 out of 5 stars","+3","+0.2","30% (4/13)"
"103",7,"Chase Brown",CIN,"RB32","12","3 out of 5 stars","+5","+1.3","40% (4/10)"
"104",7,"Christian Watson",GB,"WR44","10","4 out of 5 stars","-6","+0.3","55% (5/9)"
"105",7,"Jerome Ford",CLE,"RB33","10","4 out of 5 stars","+6","+1.9","43% (7/16)"
"106",7,"Ladd McConkey",LAC,"WR45","5","3 out of 5 stars","-5","-","-"
"107",7,"Zack Moss",CIN,"RB34","12","3 out of 5 stars","-16","+2.0","46% (6/13)"
"108",7,"Austin Ekeler",WAS,"RB35","14","3 out of 5 stars","-22","-3.6","38% (5/13)"
"109",7,"Kirk Cousins",ATL,"QB17","12","3 out of 5 stars","+30","+1.5","62% (5/8)"
"110",7,"Jordan Addison",MIN,"WR46","6","3 out of 5 stars","-3","+1.3","37% (6/16)"
"111",7,"Justin Herbert",LAC,"QB18","5","2 out of 5 stars","+16","-0.4","61% (8/13)"
"112",7,"Marquise Brown",KC,"WR47","6","3 out of 5 stars","-6","-2.4","42% (6/14)"
"113",7,"Pat Freiermuth",PIT,"TE13","9","3 out of 5 stars","+20","-1.4","27% (3/11)"
"114",7,"Matthew Stafford",LAR,"QB19","6","4 out of 5 stars","+34","+1.7","60% (9/15)"
"115",7,"Tyler Lockett",SEA,"WR48","10","3 out of 5 stars","+20","-1.4","37% (6/16)"
"116",7,"Jakobi Meyers",LV,"WR49","10","3 out of 5 stars","+25","+1.7","53% (8/15)"
"117",7,"Dalton Schultz",HOU,"TE14","14","2 out of 5 stars","+3","+0.7","50% (7/14)"
"118",7,"Joshua Palmer",LAC,"WR50","5","3 out of 5 stars","+32","+1.3","33% (3/9)"
"119",7,"Gus Edwards",LAC,"RB36","5","4 out of 5 stars","-5","+2.6","56% (9/16)"
"120",7,"Jonathon Brooks",CAR,"RB37","11","4 out of 5 stars","-23","-","-"
"121",7,"Jameson Williams",DET,"WR51","5","4 out of 5 stars","-2","+1.2","58% (7/12)"
"122",7,"Keon Coleman",BUF,"WR52","12","2 out of 5 stars","-22","-","-"
"123",7,"Aaron Rodgers",NYJ,"QB20","12","2 out of 5 stars","+11","-16.0","0% (0/1)"
"124",7,"Romeo Doubs",GB,"WR53","10","4 out of 5 stars","+14","+0.9","56% (9/16)"
"125",7,"Ezekiel Elliott",DAL,"RB38","7","3 out of 5 stars","-13","+0.4","46% (7/15)"
"126",7,"Chuba Hubbard",CAR,"RB39","11","4 out of 5 stars","+3","+0.5","37% (6/16)"
"127",7,"Khalil Shakir",BUF,"WR54","12","2 out of 5 stars","+1","+1.6","50% (8/16)"
"128",7,"Zach Charbonnet",SEA,"RB40","10","4 out of 5 stars","+16","-1.1","40% (6/15)"
"129",8,"Curtis Samuel",BUF,"WR55","12","2 out of 5 stars","+11","+0.9","53% (8/15)"
"130",8,"T.J. Hockenson",MIN,"TE15","6","2 out of 5 stars","-9","+0.9","40% (6/15)"
"131",8,"Geno Smith",SEA,"QB21","10","3 out of 5 stars","+52","-1.3","40% (6/15)"
"132",8,"Jaleel McLaughlin",DEN,"RB41","14","4 out of 5 stars","+25","+0.8","37% (6/16)"
"133",8,"Rashid Shaheed",NO,"WR56","12","3 out of 5 stars","+47","+1.7","35% (5/14)"
"134",8,"Rico Dowdle",DAL,"RB42","7","3 out of 5 stars","+15","+0.1","33% (5/15)"
"135",8,"Brandin Cooks",DAL,"WR57","7","3 out of 5 stars","+28","+0.7","46% (7/15)"
"136",8,"Blake Corum",LAR,"RB43","6","3 out of 5 stars","-13","-","-"
"137",8,"Nick Chubb",CLE,"RB44","10","4 out of 5 stars","-41","-5.1","0% (0/2)"
"138",8,"Deshaun Watson",CLE,"QB22","10","4 out of 5 stars","+20","-1.5","66% (4/6)"
"139",8,"Baker Mayfield",TB,"QB23","11","2 out of 5 stars","+21","+2.2","68% (11/16)"
"140",8,"Mike Williams",NYJ,"WR58","12","4 out of 5 stars","+7","+2.1","66% (2/3)"
"141",8,"Luke Musgrave",GB,"TE16","10","3 out of 5 stars","+24","-0.4","40% (4/10)"
"142",8,"Will Levis",TEN,"QB24","5","5 out of 5 stars","+43","-1.6","30% (3/10)"
"143",8,"Jerry Jeudy",CLE,"WR59","10","3 out of 5 stars","-1","-2.4","26% (4/15)"
"144",8,"Trey Benson",ARI,"RB45","11","2 out of 5 stars","-13","-","-"
"145",8,"Tyler Allgeier",ATL,"RB46","12","4 out of 5 stars","+7","+0.2","31% (5/16)"
"146",8,"Ty Chandler",MIN,"RB47","6","3 out of 5 stars","+9","+0.2","31% (5/16)"
"147",8,"J.K. Dobbins",LAC,"RB48","5","4 out of 5 stars","-17","-1.7","0% (0/1)"
"148",8,"Cole Kmet",CHI,"TE17","7","3 out of 5 stars","-11","+1.1","50% (8/16)"
"149",8,"Antonio Gibson",NE,"RB49","14","2 out of 5 stars","+19","0.0","53% (8/15)"
"150",8,"Hunter Henry",NE,"TE18","14","3 out of 5 stars","+50","+0.8","42% (6/14)"
"151",8,"Josh Downs",IND,"WR60","14","4 out of 5 stars","+51","-0.2","37% (6/16)"
"152",8,"Tyler Conklin",NYJ,"TE19","12","3 out of 5 stars","+20","+0.3","50% (8/16)"
"153",8,"Adam Thielen",CAR,"WR61","11","5 out of 5 stars","+3","+0.8","43% (7/16)"
"154",8,"Gabe Davis",JAC,"WR62","12","4 out of 5 stars","+8","-0.1","43% (7/16)"
"155",8,"Dontayvion Wicks",GB,"WR63","10","4 out of 5 stars","+18","+1.3","71% (10/14)"
"156",8,"Darnell Mooney",ATL,"WR64","12","4 out of 5 stars","+18","-1.8","33% (5/15)"
"157",8,"Ray Davis",BUF,"RB50","12","2 out of 5 stars","+50","-","-"
"158",8,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+31","0.0","53% (7/13)"
"159",8,"Ja'Lynn Polk",NE,"WR66","14","3 out of 5 stars","+18","-","-"
"160",8,"Adonai Mitchell",IND,"WR67","14","4 out of 5 stars","+6","-","-"
"161",8,"Bryce Young",CAR,"QB25","11","5 out of 5 stars","+49","-2.3","20% (3/15)"
